code;label-it_IT;label-en_GB;label-en_IE;label-pl_PL;label-nl_NL;label-nl_BE;label-nb_NO;label-fi_FI;label-en_US;label-es_ES;label-de_DE;label-de_CH;label-de_AT;label-da_DK;label-fr_FR;label-sv_SE;label-cs_CZ
supplierpacksize;"Numero in confezioni dal fornitore";"Number in Package from Supplier";"Number in Package from Supplier";"Numer w Opakowaniu od Dostawcy";"Aantal in het pakket van de leverancier";"Aantal in het pakket van de leverancier";"Antall i pakke fra leverandør";"Toimittajan tuotenumero";;"Número en el paquete del distribuidor";"Anzahl im Paket vom Lieferanten";"Anzahl im Paket vom Lieferanten";"Anzahl im Paket vom Lieferanten";"antal i pakken fra leverandören";"Quantité dans le carton du fournisseur";"Antal i paket från leverantör";"Počet V Balení Od Dodavatele"
packsize;"Numero in confezioni ";"Number in Package";"Number in Package";"Numer w Opakowaniu";"Aantal in het pakket";"Aantal in het pakket";"Antall i pakken";Pakkausukoko;;"Número en el paquete";"Anzahl im Set";"Anzahl im Set";"Anzahl im Set";"antal i pakken";"Quantité dans le carton";"Antal i paket";"Počet V Balení"
helmetsize;Tagliecasco;"Helmet Sizes";"Helmet Sizes";"Rozmiar kasku";"Maat Helmen";"Maat Helmen";Hjelmstørrelse;"Koko Kypärät";;TamaÃ±odeCasco;Helmgrößen;Helmgrößen;Helmgrößen;Hjelmstørrelse;"Taille Casque";"Storlek Hjälmar";"Velikost helmy"
shoesize;Misurescarpe;"Shoe Sizes";"Shoe Sizes";"Rozmiar butÓw";Schoenmaat;Schoenmaat;Skostørrelser;"Kenkien koot";;Talladeloszapatos;Schuhgrößen;;Schuhgrößen;Skostørrelse;Pointures;Skostorlekar;"Velikost obuvi"
size;Size;Size;Size;Size;Size;Size;Size;Size;;Size;Hosengrößen;Hosengrößen;Hosengrößen;Size;Size;Storlek;Size
sizecap;"Taglie Berretti ";"Cap Sizes";"Cap Sizes";"Rozmiar czapki z daszkiem";"Maten Petten";"Maten Petten";"Størrelser Capser";"Koot Lippikset";;"Tallas Gorras";Capgrößen;;Capgrößen;"Størrelse Cap";"Taille Casquettes";"Storlekar Kepsar";"Velikost Čepice"
sizechild;"Taglia Bambino";"Youth Sizes";"Youth Sizes";"Rozmiar dzieciecy";"Maat Kinderen";"Maat Kinderen";"Størrelse Barn";"Koko Lapset";;"Talla Niño";Kindergrößen;;Kindergrößen;"Størrelse Barn";"Taille Enfant";"Storlek Barn";"Detská velikost"
sizechildcl;"Bambino cl";"Youth Sizes cl";"Youth Sizes cl";"Rozmiar dzieciecy";"Kinderen cl";"Kinderen cl";"Barn cl";Lastenkoko;;"Niño cl";"Kleidergrößen Kinder";;"Kleidergrößen Kinder";"Barn cl";"Enfant cm";"Barn cl";"Detský cl"
sizegloveschild;"Taglie Guanti Bambino";"Youth Glove Sizes";"Youth Glove Sizes";"Rozmiar dzieciece rekawice";"Maten Handschoenen Kinderen";"Maten Handschoenen Kinderen";"Størrelser Hansker Barn";"Hanskojen koot lapset";;"Tallas Guantes Niño";"Handschuhgrößen Kinder";"Handschuhgrößen Kinder";"Handschuhgrößen Kinder";"Størrelse Handsker Barn";"Tailles Gants Enfant";"Storlekar Handskar Barn";"Velikost Detských rukavic"
sizeglovesman;TagliaGuantiUomo;"Mens Glove Size";"Mens Glove Size";"Rozmiar meskie rekawice";"Maten Handschoenen Heren";"Maten Handschoenen Heren";"Størrelser Hansker Herre";"Koot Hanskat Miehet";;"Talla Guantes Hombre";"Handschuhgrößen Herren";;"Handschuhgrößen Herren";"Størrelse Handsker Herre";"Tailles Gants Homme";"Storlekar Handskar Herr";"Velikost Pánských rukavic"
sizegloveswoman;"Taglie Guanti Donna";"Ladies Glove Sizes";"Ladies Glove Sizes";"Rozmiar damskie rekawice";"Maten Handschoenen Dames";"Maten Handschoenen Dames";"Størrelser Handsker Dame";"Koot Hanskat Naiset";;"Tallas Guantes Mujer";"Handschuhgrößen Damen";;"Handschuhgrößen Damen";"Størrelse Handsker Dame";"Tailles Gants Femme";"Storlekar Handskar Dam";"Velikost Dámských rukavic"
sizeman;"Taglia Uomo";"Mens Sizes";"Mens Sizes";"Rozmiar m&#281;ski";"Maat Heren";"Maat Heren";"Størrelse Herr";"Koko Miehet";;"Talla Hombre";Herrengrößen;;Herrengrößen;"Størrelse Herre";"Taille Homme";"Storlek Herr";"Pánská velikost"
sizemancl;Uomocl;"Mens Sizes cl";"Mens Sizes cl";"Rozmiar meski";"Heren cl";"Heren cl";"Herre cl";Miestenkoko;;"Talla Hombre";"Kleidergrößen Herren";;"Kleidergrößen Herren";"Herre cl";"Homme cm";"Herr cl";Pánský
sizeunisex;"Taglie Unisex";"Unisex Sizes";"Unisex Sizes";"Rozmiar Unisex";"Maten Unisex";"Maten Unisex";"Størrelser Unisex";"Koot Unisex";;"Tallas Unisex";"Größen Unisex";;"Größen Unisex";"Størrelse Unisex";"Taille Unisexe";"Storlekar Unisex";"Velikost Unisex"
sizewoman;"Taglia Donna";"Ladies Sizes";"Ladies Sizes";"Rozmiar damski";"Maat Dames";"Maat Dames";"Størrelse Dame";"Koko Naiset";;"Talla Mujer";Damengrößen;;Damengrößen;"Størrelse Dame";"Taille Femme";"Storlek Dam";"Dámská velikost"
sizewomancl;"Donna cl";"Ladies Sizes cl";"Ladies Sizes cl";"Rozmiar damski";"Damesmaten ";"Damesmaten ";"Dame cl";Naistenkoot;;"Mujer cl";"Kleidergrößen Damen";"Kleidergrößen Damen";"Kleidergrößen Damen";"Dame cl";"Femme cm";"Dam cl";"Dámský cl"
additionalcolors;"colori aggiuntivi";"Additional Colours";"Additional Colours";"Dodatkowe Kolory";"Extra kleuren";"Extra kleuren";"Alternative farger";"Vaihtoehtoiset värit";;"Otros colores";"Zusätzliche Farben";"Zusätzliche Farben";"Zusätzliche Farben";"Øvrige Farver ";"Autres couleurs";"Övriga färger";"Ostatní barvy"
color;Colore;Color;Color;Kolor;Kleur;Kleur;Farge;Väri;;Color;Farbe;;Farbe;Farve;Couleur;Färg;Barva
