code;label-es_ES;label-nl_NL;label-nl_BE;label-nb_NO;label-it_IT;label-fr_FR;label-fi_FI;label-en_US;label-sv_SE;label-en_IE;label-en_GB;label-de_DE;label-de_CH;label-de_AT;label-da_DK;label-cs_CZ;label-pl_PL;attribute;sort_order
35mm;"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";"35 mm";helmetsize;0
40mm;"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";"40 mm";helmetsize;1
45mm;"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";"45 mm";helmetsize;2
50mm;"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";"50 mm";helmetsize;3
50;50;50;50;50;50;50;50;;50;;50;50;50;50;50;50;50;helmetsize;4
52;52;52;52;52;52;52;52;;52;;52;52;52;52;52;52;52;helmetsize;5
54;54;54;54;54;54;54;54;;54;;54;54;54;54;54;54;54;helmetsize;6
xxx_small_40_mm;"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";"XXX-Small (40 mm)";helmetsize;7
xx_small_35_mm;"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";"XX-Small (35 mm)";helmetsize;8
xx_small_40mm;"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";"XX-Small (40mm)";helmetsize;9
x_small_35mm;"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";"X-Small (35mm)";helmetsize;10
x_small_30_mm;"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";"X-Small (30 mm)";helmetsize;11
small_30mm;"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";"Small (30mm)";helmetsize;12
small_25_mm;"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";"Small (25 mm)";helmetsize;13
medium_25mm;"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";"Medium (25mm)";helmetsize;14
medium_20_mm;"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";"Medium (20 mm)";helmetsize;15
large_40_mm;"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";"Large (40 mm)";helmetsize;16
large_25mm;"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";"Large (25mm)";helmetsize;17
x_large_35_mm;"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";"X-Large (35 mm)";helmetsize;18
x_large_20mm;"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";"X-Large (20mm)";helmetsize;19
xx_large_30_mm;"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";"XX-Large (30 mm)";helmetsize;20
xx_large_15mm;"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";"XX-Large (15mm)";helmetsize;21
xxx_large_25_mm;"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";"XXX-Large (25 mm)";helmetsize;22
xxxx_large_20_mm;"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";"XXXX-Large (20 mm)";helmetsize;23
x_small_45_46cm;"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";"XS 45-46cm";helmetsize;24
x_small_47_48cm;"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";"XS (47-48cm)";helmetsize;25
x_small_53_54cm;"X-S 53-54cm";"X-Small 53-54cm";"X-Small 53-54cm";"X-Small 53-54cm";"X-Small 53-54cm";"X-Small 53-54cm";"X-Small 53-54cm";;"X-Small 53-54cm";"X-Small 53-54cm";"X-Small 53-54cm";"Gr. XS (53-54cm)";"Gr. XS (53-54cm)";"Gr. XS (53-54cm)";"X-Small 53-54cm";"XS 53-54cm";"X-Small 53-54cm";helmetsize;26
xs_s_56cm;"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";;"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";"XS/S 56cm";;"XS/S 56cm";helmetsize;27
small_47_48cm;"S 47-48cm";"Small 47-48cm";"Small 47-48cm";"Small 47-48cm";"Small 47-48cm";"Small 47-48cm";"Small 47-48cm";;"Small 47-48cm";"Small 47-48cm";"Small 47-48cm";"Gr. S (47-48cm)";"Gr. S (47-48cm)";"Gr. S (47-48cm)";"Small 47-48cm";"S 47-48cm";"Small 47-48cm";helmetsize;28
small_49_50cm;"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";"S (49-50cm)";helmetsize;29
